INLINE NewClassTable,Name,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Class Relative Power,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Skl Promo Gain,Spd Promo Gain,Def Promo Gain,Res Promo Gain,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],ImperfectName,ImperfectDesc,0x7f,0x39,0x2e,0x0,0x7c,0x29,17,2,3,3,3,3,5,5,80,40,40,40,40,40,25,3,55,55,40,35,10,30,40,2,1,1,0,2,2,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,0x88af6e0,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Circus Tent,CircusName,CircusDesc,0x80,0x0,0x68,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,0x88af6e0,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
???,HaachamaName,HaachamaDesc,0x81,0x0,0x7A,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,25,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,Chama|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Neko,NekoName,NekoDesc,0x82,0x0,0x7B,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,25,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,0x88af6e0,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Mage,MageName,MageDesc,0x83,0x0,0x7C,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,25,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,BaeAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Light Mage,LMageName,LMageDesc,0x84,0x0,0x7D,0x0,0xBF,0x0,16,0,7,9,2,2,4,5,80,20,20,20,20,20,25,3,35,10,30,40,25,25,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,SoraAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Crewmate,CrewmateName,CrewmateDesc,0x85,0x0,0x7E,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,Amongus|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
The Weapon,WeaponName,WeaponDesc,0x86,0x0,0x7F,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,AnyaAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
T[_r][_a][_v][_e]li[_n][_g][_SP][_C]i[_r][_c][_u][_s],TravCircusName,TravCircusDesc,0x87,0x0,0x80,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,0,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,0x0,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Smol Ame,SmolName,SmolDesc,0x88,0x0,0x81,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,InvestigatorAnims|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Crossbowmen,CrossName,CrossDesc,0x89,0x0,0x6F,0x0,0x0,0x0,16,5,8,5,2,2,7,5,80,20,20,20,20,20,25,3,35,45,80,40,30,30,60,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,NoRank,NoRank,BotanAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Warrior,WarName,WarDesc,0x8A,0x0,0x76,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,FemWarriorAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Berserker,BerserName,BerserDesc,0x8B,0x0,0x75,0x0,0xB1,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,FemBerserkerAnim,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Succubus,SuccName,SuccubusDesc,0x8C,0x0,0x82,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,SuccubusAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Scholar,ScholarName,ScholarDesc,0x8D,0x0,0x83,0x0,0x0,0x0,20,1,6,7,8,10,6,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,ShionAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Witch,WitchName,WitchDesc,0x8E,0x0,0x84,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,WitchT2Anim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Gunner,GunnerName,GunnerDesc,0x8F,0x0,0x85,0x0,0x0,0x0,24,6,6,4,3,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,10,3,0,3,0,0,0x0,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,RBCAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
L. Gunner,LGunName,LGunDesc,0x90,0x0,0x86,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,LightGunnerAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Rogue,RogueCatName,CatRogueDesc,0x91,0x0,0x87,0x0,0x0,0x0,14,3,1,9,6,0,6,6,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted|CanUseLockpick|Steal,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,CatAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
KFP,ChickenName,ChickenDesc,0x92,0x0,0x88,0x0,0xB8,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,Chicken|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Harrier,HarrierName,HarrierDesc,0x93,0x0,0x89,0x0,0xBD,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,HarrierAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Blacksmith,BlacksmithName,BlacksmithDesc,0x94,0x0,0x8A,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,KaelaAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Samurai,SamuraiName,SamuraiDesc,0x95,0x0,0x8B,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,GozaruAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
The Doog,KoroneName,KoroneDesc,0x96,0x0,0x8C,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,KoroneAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
The Slayer,SlayerName,SlayerDesc,0x97,0x0,0x87,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,KoronePromotionAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
FellBeast,FellbeastName,FellbeastDesc,0x98,0x0,0x8E,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,FellBeastAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Oni,OniName,OniDesc,0x99,0x0,0x8F,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,AyameAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Pirate,PirateName,PirateDesc,0x9A,0x0,0x74,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,FPirateAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Shaman,ShamanName,ShamanDesc,0x9B,0x0,0x71,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,RushiaAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Angel,AngelName,AngelDesc,0x9C,0x0,0x90,0x0,0xAE,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,AngelAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Commander,SuperNoelName,SuperNoelDesc,0x9D,0x0,0x91,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,SuperNoelAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Baellista,BaellistaName,BaellistaDesc,0x9E,0x0,0x49,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,Baellista|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Tank,TankName,TankDes,0x9F,0x0,0x92,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,TankAnims|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Infantry,InfantryName,InfantryDesc,0xA0,0x0,0x93,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,InfantryAnims|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Howtizer,HowtizerName,HowtizerDesc,0xA1,0x0,0x94,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,HowitzerAnims|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Warden,WardenName,WardenDesc,0xA2,0x0,0x8D,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,KroniiAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Guardian,GuardianName,GuardianDesc,0xA3,0x0,0x95,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,MioAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Guardian,GuardianName,GuardianDesc2,0xA4,0x0,0x96,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,FbkAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Drowned,DrownedName,DrownedDesc,0xA5,0x0,0x97,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,DrownedAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Symphone,SymphoneName,SymphoneDesc,0xA6,0x0,0x98,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,SymphoneAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Druid,TowaDruidName,TowaDruidDesc,0xA7,0x0,0x72,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,0x88af6e0,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Succubus,SuccName,ChocoDesc,0xA8,0x0,0x82,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,ChocoAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Laplace,LaplaceName,LaplaceDesc,0xA9,0x0,0x99,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,LaplaceAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Scientist,ScientistName,ScientistDesc,0xAA,0x0,0x9A,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,KoyoriAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Nephilim,NephilimName,NephilimDesc,0xAB,0x0,0x9B,0x0,0xC3,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,NephAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Peg. Trainee,PegTraineeName,PegTraineeDesc,0xAC,0x0,0x77,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,PegTraineeAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Magic Girl,MagicGirlName,MagicGirlDesc,0xAD,0x0,0x9C,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,MagicGirlAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Mahou Girl,MahouGirlName,MahouGirlDesc,0xAE,0x0,0x9D,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,MahouGirlAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Maid,MaidName,MaidDesc,0xAF,0x0,0x9E,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,AquaAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Gore,GoreName,GoreDesc,0xB0,0x0,0x9F,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,GoreAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Legion,LegionName,LegionDesc,0xB1,0x0,0x79,0x0,0xB4,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,LegionAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
King,KingName,KingDesc,0xB2,0x0,0x78,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,SkeletonKingAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Seal,SealName,SealDesc,0xB3,0x0,0xA0,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,SealAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
CEO,CEOName,CEODesc,0xB4,0x0,0xA1,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,YagooAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
War Elephant,ElephantName,ElephantDesc,0xB5,0x0,0xAE,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,ElephantAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Rat,RatName,RatDesc,0xB6,0x0,0xA2,0x0,0xC8,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,RatAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Catapult,CatapultName,CatapultDesc,0xB7,0x0,0xA3,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,0x88af6e0,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Novistador,NovistadorName,NovistadorDesc,0xB8,0x0,0xA4,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,0x88af6e0,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Dancer,DancerName,DancerDesc,0xB9,0x0,0x3E,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,0x88af6e0,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Trickster,TricksterName,TricksterDesc,0xBA,0x0,0xA5,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,TricksterAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Marshall,MarshallName,MarshallDesc,0xBB,0x0,0xA6,0x0,0x0,0x0,30,18,20,15,18,14,7,6,80,40,40,40,40,40,25,3,90,60,45,35,50,50,40,10,10,8,0,8,8,IsPromoted,SRank,SRank,SRank,NoRank,NoRank,NoRank,NoRank,NoRank,MarshallAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Sentinel,SentinelName,SentinelDesc,0xBC,0x0,0xA7,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,SentinelAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Necromancer,NecromancerName,NecromancerDesc,0xBD,0x0,0xA8,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,NecromancerAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Seraph Knight,SeraphName,SeraphDesc,0xBE,0x0,0xA9,0x0,0xCB,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,SeraphKnightAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Master Knight,MasterKnightName,MasterKnightDesc,0xBF,0x0,0xAA,0x0,0x0,0x0,18,6,6,7,6,0,8,5,80,20,20,20,20,20,25,3,90,45,40,45,15,15,40,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,MasterKnightAnim|IsPointer,0x880ba51,0x880bea2,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
